Patient,Gender,Contract,Tenure,Charges
Patient #590,Female,One year,22 mo,$93.3
Patient #591,Female,Month-to-month,18 mo,$92.0
Patient #592,Female,Month-to-month,70 mo,$119.0
Patient #593,Male,Two year,5 mo,$103.9
Patient #594,Male,Two year,7 mo,$96.4
Patient #595,Female,Month-to-month,30 mo,$26.8
Patient #596,Male,Month-to-month,28 mo,$70.6
Patient #597,Female,Month-to-month,62 mo,$85.9
Patient #598,Male,Month-to-month,69 mo,$75.2
Patient #599,Male,Month-to-month,68 mo,$92.2
Patient #600,Female,Month-to-month,65 mo,$101.3
Patient #601,Female,Month-to-month,14 mo,$111.8
Patient #602,Male,Month-to-month,25 mo,$82.0
Patient #603,Female,One year,35 mo,$99.5
Patient #604,Male,One year,52 mo,$65.9
Patient #605,Male,Two year,29 mo,$50.0
Patient #606,Male,Two year,5 mo,$29.4
Patient #607,Female,One year,71 mo,$67.6
Patient #608,Male,Two year,22 mo,$28.3
Patient #609,Female,Two year,43 mo,$76.6
Patient #610,Male,Two year,6 mo,$43.0
Patient #611,Female,One year,6 mo,$112.4
Patient #612,Female,Two year,5 mo,$37.9
Patient #613,Female,Month-to-month,27 mo,$78.7
Patient #614,Female,Month-to-month,39 mo,$36.2
Patient #615,Male,Two year,50 mo,$87.7
Patient #616,Female,One year,18 mo,$99.0
Patient #617,Male,Two year,45 mo,$25.4
Patient #618,Female,Month-to-month,10 mo,$54.1
Patient #619,Female,One year,4 mo,$83.4
Patient #620,Female,One year,30 mo,$55.6
Patient #621,Female,One year,24 mo,$88.0
Patient #622,Female,Month-to-month,38 mo,$99.8
Patient #623,Male,Month-to-month,35 mo,$35.4
Patient #624,Male,Two year,50 mo,$51.7
Patient #625,Male,Month-to-month,1 mo,$114.3
Patient #626,Female,One year,35 mo,$30.2
Patient #627,Male,Month-to-month,56 mo,$64.9
Patient #628,Female,Month-to-month,4 mo,$29.0
Patient #629,Male,Two year,42 mo,$106.4
Patient #630,Male,One year,53 mo,$58.8
Patient #631,Male,Two year,72 mo,$110.5
Patient #632,Male,Two year,67 mo,$37.0
Patient #633,Female,Month-to-month,18 mo,$46.9
Patient #634,Female,One year,19 mo,$26.3
Patient #635,Female,One year,54 mo,$50.0
Patient #636,Male,One year,33 mo,$114.4
Patient #637,Female,Two year,26 mo,$65.8
Patient #638,Male,One year,1 mo,$114.9
Patient #639,Female,Two year,49 mo,$100.4
Patient #640,Female,One year,43 mo,$63.1
Patient #641,Male,One year,42 mo,$80.3
Patient #642,Male,One year,41 mo,$37.8
Patient #643,Female,One year,38 mo,$93.5
Patient #644,Female,Two year,32 mo,$52.6
Patient #645,Female,One year,47 mo,$31.4
Patient #646,Male,Two year,70 mo,$38.0
Patient #647,Male,Two year,60 mo,$114.3
Patient #648,Male,One year,38 mo,$103.1
Patient #649,Male,One year,64 mo,$33.9
Patient #650,Female,Month-to-month,33 mo,$85.9
Patient #651,Female,One year,10 mo,$64.9
Patient #652,Female,Two year,52 mo,$73.4
Patient #653,Female,Two year,5 mo,$99.1
Patient #654,Female,Two year,69 mo,$79.4
Patient #655,Male,Month-to-month,32 mo,$85.8
Patient #656,Female,Month-to-month,6 mo,$76.3
Patient #657,Female,One year,56 mo,$30.6
Patient #658,Male,One year,29 mo,$71.1
Patient #659,Male,One year,48 mo,$59.1
Patient #660,Male,One year,4 mo,$68.3
Patient #661,Female,One year,11 mo,$31.6
Patient #662,Male,One year,40 mo,$54.3
Patient #663,Male,Two year,62 mo,$54.8
Patient #664,Male,One year,58 mo,$51.9
Patient #665,Female,Month-to-month,15 mo,$22.3
Patient #666,Female,Two year,14 mo,$87.7
Patient #667,Male,Two year,32 mo,$71.6
Patient #668,Male,One year,72 mo,$62.6
Patient #669,Female,Month-to-month,52 mo,$83.0
Patient #670,Male,Two year,56 mo,$59.6
Patient #671,Male,One year,55 mo,$58.9
Patient #672,Male,Month-to-month,36 mo,$95.2
Patient #673,Male,Two year,14 mo,$100.0
Patient #674,Male,One year,42 mo,$39.7
Patient #675,Male,One year,63 mo,$72.8
Patient #676,Female,Two year,50 mo,$81.1
Patient #677,Male,One year,46 mo,$104.6
Patient #678,Male,Two year,39 mo,$111.9
Patient #679,Male,Two year,18 mo,$51.3
Patient #680,Male,One year,15 mo,$38.3
Patient #681,Male,Two year,50 mo,$61.8
Patient #682,Male,Two year,50 mo,$62.3
Patient #683,Female,Two year,69 mo,$89.3
Patient #684,Male,Two year,22 mo,$69.0
Patient #685,Male,Month-to-month,41 mo,$104.2
Patient #686,Male,One year,2 mo,$68.5
Patient #687,Male,One year,72 mo,$70.5
Patient #688,Female,One year,63 mo,$61.6
Patient #689,Female,One year,22 mo,$28.3
Patient #690,Male,Month-to-month,38 mo,$23.3
Patient #691,Male,Two year,37 mo,$36.8
Patient #692,Female,Two year,64 mo,$75.0
Patient #693,Male,Two year,15 mo,$46.8
Patient #694,Female,Two year,6 mo,$96.0
Patient #695,Female,Two year,28 mo,$119.0
Patient #696,Male,Two year,32 mo,$49.8
Patient #697,Male,One year,34 mo,$54.9
Patient #698,Male,One year,16 mo,$97.6
Patient #699,Male,Month-to-month,45 mo,$106.1
Patient #700,Female,Month-to-month,18 mo,$98.5
Patient #701,Male,Month-to-month,45 mo,$73.2
Patient #702,Male,One year,38 mo,$48.9
Patient #703,Female,Two year,13 mo,$33.6
Patient #704,Female,Month-to-month,36 mo,$106.7
Patient #705,Male,Two year,17 mo,$45.0
Patient #706,Female,Month-to-month,51 mo,$68.9
Patient #707,Female,Two year,54 mo,$57.5
Patient #708,Male,Two year,12 mo,$60.3
Patient #709,Female,Two year,48 mo,$65.5
Patient #710,Female,One year,1 mo,$106.9
Patient #711,Male,Two year,59 mo,$83.5
Patient #712,Female,Month-to-month,69 mo,$59.8
Patient #713,Female,Month-to-month,64 mo,$46.9
Patient #714,Female,One year,71 mo,$77.8
Patient #715,Female,One year,7 mo,$24.6
Patient #716,Female,Month-to-month,16 mo,$112.9
Patient #717,Male,One year,59 mo,$20.1
Patient #718,Female,Month-to-month,17 mo,$108.2
Patient #719,Female,Month-to-month,36 mo,$29.3
Patient #720,Female,One year,11 mo,$57.2
Patient #721,Male,Month-to-month,51 mo,$82.6
Patient #722,Male,One year,12 mo,$90.4
Patient #723,Male,Month-to-month,62 mo,$27.8
Patient #724,Male,Two year,57 mo,$20.9
Patient #725,Female,Month-to-month,55 mo,$89.4
Patient #726,Female,Month-to-month,30 mo,$58.3
Patient #727,Male,Month-to-month,41 mo,$56.8
Patient #728,Female,Month-to-month,49 mo,$97.3
Patient #729,Male,Two year,19 mo,$26.8
Patient #730,Male,Two year,22 mo,$64.0
Patient #731,Male,Two year,20 mo,$112.0
Patient #732,Female,Month-to-month,12 mo,$109.7
Patient #733,Male,Month-to-month,50 mo,$55.2
Patient #734,Female,One year,18 mo,$44.8
Patient #735,Male,Month-to-month,71 mo,$80.1
Patient #736,Female,Two year,4 mo,$104.8
Patient #737,Female,Month-to-month,67 mo,$80.7
Patient #738,Male,Two year,51 mo,$49.6
Patient #739,Male,Month-to-month,64 mo,$58.6
Patient #740,Male,One year,10 mo,$72.8
Patient #741,Male,One year,41 mo,$33.2
Patient #742,Female,One year,70 mo,$88.3
Patient #743,Female,Month-to-month,3 mo,$78.7
Patient #744,Male,One year,28 mo,$24.0
Patient #745,Male,One year,65 mo,$48.6
Patient #746,Female,One year,52 mo,$28.2
Patient #747,Male,One year,11 mo,$51.0
Patient #748,Male,Month-to-month,69 mo,$52.7
Patient #749,Male,One year,56 mo,$93.0
Patient #750,Male,Month-to-month,32 mo,$28.6
Patient #751,Female,Month-to-month,59 mo,$81.2
Patient #752,Male,One year,23 mo,$31.9
Patient #753,Male,Two year,2 mo,$36.4
Patient #754,Female,Two year,67 mo,$98.3
Patient #755,Female,Month-to-month,48 mo,$32.7
Patient #756,Female,Two year,16 mo,$97.1
Patient #757,Male,One year,55 mo,$47.2
Patient #758,Male,One year,10 mo,$69.6
Patient #759,Female,Month-to-month,64 mo,$105.9
Patient #760,Male,One year,21 mo,$45.5
Patient #761,Male,Two year,15 mo,$42.8
Patient #762,Male,Month-to-month,2 mo,$44.5
Patient #763,Female,One year,50 mo,$112.0
Patient #764,Male,Month-to-month,71 mo,$100.3
Patient #765,Female,Month-to-month,42 mo,$44.8
Patient #766,Female,One year,10 mo,$77.2
Patient #767,Male,Two year,7 mo,$37.9
Patient #768,Male,One year,9 mo,$107.7
Patient #769,Female,One year,42 mo,$28.6
Patient #770,Female,Month-to-month,48 mo,$40.1
Patient #771,Female,Two year,32 mo,$66.4
Patient #772,Female,Month-to-month,70 mo,$96.0
Patient #773,Male,Month-to-month,1 mo,$113.2
Patient #774,Male,Month-to-month,70 mo,$54.6
Patient #775,Male,One year,1 mo,$95.9
Patient #776,Female,Two year,40 mo,$30.4
Patient #777,Male,One year,63 mo,$116.1
Patient #778,Male,Two year,36 mo,$29.3
Patient #779,Male,Two year,53 mo,$90.1
Patient #780,Female,One year,11 mo,$78.1
Patient #781,Male,Two year,51 mo,$27.5
Patient #782,Male,One year,17 mo,$43.7
Patient #783,Female,One year,51 mo,$90.1
Patient #784,Female,One year,58 mo,$47.2
Patient #785,Male,Month-to-month,18 mo,$98.0
Patient #786,Male,Month-to-month,14 mo,$36.4
Patient #787,Female,One year,53 mo,$32.1
Patient #788,Female,Month-to-month,58 mo,$50.8
Patient #789,Female,Month-to-month,12 mo,$35.8
Patient #790,Female,Two year,6 mo,$41.5
Patient #791,Female,Month-to-month,12 mo,$91.1
Patient #792,Female,One year,66 mo,$24.9
Patient #793,Female,One year,23 mo,$23.1
Patient #794,Female,One year,72 mo,$94.8
Patient #795,Male,Month-to-month,60 mo,$30.2
Patient #796,Male,Month-to-month,2 mo,$26.2
Patient #797,Male,Month-to-month,26 mo,$102.4
Patient #798,Female,Two year,11 mo,$78.2
Patient #799,Female,Month-to-month,3 mo,$119.7
Patient #800,Male,Two year,57 mo,$100.9
Patient #801,Male,One year,16 mo,$24.3
Patient #802,Female,Month-to-month,22 mo,$112.4
Patient #803,Female,Two year,51 mo,$69.6
Patient #804,Female,Two year,55 mo,$37.3
Patient #805,Male,Month-to-month,36 mo,$48.0
Patient #806,Male,Month-to-month,32 mo,$84.7
Patient #807,Female,One year,71 mo,$67.9
Patient #808,Male,One year,50 mo,$33.7
Patient #809,Male,Two year,68 mo,$44.9
Patient #810,Male,One year,46 mo,$68.0
Patient #811,Female,One year,65 mo,$52.2
Patient #812,Female,Month-to-month,4 mo,$51.9
Patient #813,Male,Month-to-month,36 mo,$25.9
Patient #814,Female,Two year,46 mo,$96.7
Patient #815,Male,Month-to-month,13 mo,$44.8
Patient #816,Male,One year,69 mo,$101.6
Patient #817,Male,Month-to-month,50 mo,$55.5
Patient #818,Male,Month-to-month,31 mo,$79.3
Patient #819,Female,Two year,4 mo,$90.3
Patient #820,Female,Two year,19 mo,$76.3
Patient #821,Male,One year,70 mo,$50.9
Patient #822,Female,Month-to-month,12 mo,$25.6
Patient #823,Male,Month-to-month,68 mo,$67.8
Patient #824,Female,Two year,26 mo,$100.6
Patient #825,Female,Two year,23 mo,$111.9
Patient #826,Female,Month-to-month,3 mo,$34.8
Patient #827,Male,Month-to-month,68 mo,$106.1
Patient #828,Male,One year,51 mo,$78.6
Patient #829,Female,One year,42 mo,$33.6
Patient #830,Male,Two year,56 mo,$99.2
Patient #831,Female,Two year,41 mo,$37.4
Patient #832,Female,Month-to-month,23 mo,$57.8
Patient #833,Female,Month-to-month,23 mo,$92.9
Patient #834,Female,Two year,5 mo,$38.2
Patient #835,Female,Two year,29 mo,$84.0
Patient #836,Male,One year,19 mo,$53.1
Patient #837,Male,Month-to-month,45 mo,$118.2
Patient #838,Male,Two year,12 mo,$102.2
Patient #839,Female,One year,2 mo,$46.5
Patient #840,Male,Two year,9 mo,$55.0
Patient #841,Male,Two year,1 mo,$24.8
Patient #842,Female,Two year,54 mo,$116.9
Patient #843,Female,One year,49 mo,$55.1
Patient #844,Female,Month-to-month,62 mo,$98.9
Patient #845,Male,Month-to-month,58 mo,$27.4
Patient #846,Male,One year,3 mo,$51.9
Patient #847,Male,Month-to-month,44 mo,$37.0
Patient #848,Female,Month-to-month,10 mo,$74.7
Patient #849,Male,One year,62 mo,$90.5
Patient #850,Female,Two year,22 mo,$80.7
Patient #851,Female,Month-to-month,7 mo,$30.1
Patient #852,Male,Month-to-month,53 mo,$89.7
Patient #853,Female,Two year,37 mo,$49.7
Patient #854,Male,Month-to-month,51 mo,$77.2
Patient #855,Female,Month-to-month,7 mo,$56.1
Patient #856,Female,Month-to-month,38 mo,$102.4
Patient #857,Female,Month-to-month,13 mo,$22.6
Patient #858,Male,Two year,38 mo,$117.7
Patient #859,Female,Month-to-month,40 mo,$98.5
Patient #860,Female,One year,34 mo,$29.1
Patient #861,Female,Month-to-month,48 mo,$108.5
Patient #862,Female,Month-to-month,58 mo,$24.5
Patient #863,Female,One year,34 mo,$42.6
Patient #864,Female,Two year,8 mo,$35.1
Patient #865,Male,Month-to-month,45 mo,$100.8
Patient #866,Female,Two year,30 mo,$75.4
Patient #867,Female,Two year,54 mo,$116.6
Patient #868,Female,Two year,31 mo,$67.6
Patient #869,Male,One year,5 mo,$70.2
Patient #870,Male,Month-to-month,58 mo,$37.3
Patient #871,Male,Month-to-month,25 mo,$32.6
Patient #872,Female,Month-to-month,56 mo,$40.2
Patient #873,Male,Two year,34 mo,$52.0
Patient #874,Male,Month-to-month,50 mo,$75.6
Patient #875,Female,One year,67 mo,$65.8
Patient #876,Male,Two year,67 mo,$98.2
Patient #877,Male,One year,20 mo,$34.8
Patient #878,Male,Month-to-month,13 mo,$98.6
Patient #879,Female,One year,34 mo,$58.3
Patient #880,Female,Two year,61 mo,$23.7
Patient #881,Female,One year,19 mo,$81.8
Patient #882,Female,Month-to-month,51 mo,$109.0
Patient #883,Female,Two year,31 mo,$24.9
Patient #884,Female,One year,48 mo,$22.0
Patient #885,Female,One year,36 mo,$104.3
Patient #886,Male,Month-to-month,18 mo,$50.0
Patient #887,Female,One year,35 mo,$92.9
Patient #888,Male,Month-to-month,57 mo,$41.1
Patient #889,Female,Two year,63 mo,$95.9
Patient #890,Female,Month-to-month,66 mo,$99.1
Patient #891,Male,One year,65 mo,$60.3
Patient #892,Male,Month-to-month,25 mo,$107.5
Patient #893,Male,Month-to-month,32 mo,$23.3
Patient #894,Male,One year,26 mo,$47.4
Patient #895,Female,Two year,51 mo,$83.5
Patient #896,Male,Two year,4 mo,$44.2
Patient #897,Female,Two year,58 mo,$37.8
Patient #898,Female,Two year,71 mo,$55.0
Patient #899,Male,One year,12 mo,$48.5
Patient #900,Female,Month-to-month,21 mo,$105.4
Patient #901,Male,Month-to-month,29 mo,$87.8
Patient #902,Female,Two year,53 mo,$71.3
Patient #903,Male,One year,17 mo,$84.7
Patient #904,Male,Month-to-month,33 mo,$80.8
Patient #905,Female,Two year,36 mo,$62.4
Patient #906,Female,One year,59 mo,$45.2
Patient #907,Female,One year,67 mo,$102.4
Patient #908,Female,Two year,14 mo,$20.7
Patient #909,Female,Two year,37 mo,$49.8
Patient #910,Male,One year,9 mo,$53.6
Patient #911,Female,Two year,42 mo,$106.1
Patient #912,Female,Two year,39 mo,$38.8
Patient #913,Male,Month-to-month,52 mo,$86.1
Patient #914,Male,Two year,4 mo,$85.5
Patient #915,Female,One year,54 mo,$60.5
Patient #916,Male,Two year,25 mo,$54.3
Patient #917,Male,Two year,69 mo,$83.8
Patient #918,Female,Two year,46 mo,$70.7
Patient #919,Male,Two year,72 mo,$38.1
Patient #920,Male,One year,17 mo,$94.1
Patient #921,Male,Two year,43 mo,$85.4
Patient #922,Male,One year,29 mo,$94.4
Patient #923,Female,One year,43 mo,$57.2
Patient #924,Female,One year,16 mo,$67.1
Patient #925,Male,One year,25 mo,$70.0
Patient #926,Female,Two year,39 mo,$61.3
Patient #927,Male,Month-to-month,26 mo,$54.3
Patient #928,Female,Month-to-month,41 mo,$106.2
Patient #929,Male,Month-to-month,63 mo,$53.3
Patient #930,Male,One year,8 mo,$20.5
Patient #931,Female,Month-to-month,22 mo,$77.6
Patient #932,Male,One year,12 mo,$32.9
Patient #933,Female,Two year,55 mo,$60.3
Patient #934,Female,One year,1 mo,$23.8
Patient #935,Male,Two year,48 mo,$115.0
Patient #936,Female,Two year,25 mo,$21.8
Patient #937,Male,Two year,32 mo,$42.6
Patient #938,Female,One year,17 mo,$30.3
Patient #939,Female,Month-to-month,9 mo,$102.4
Patient #940,Female,One year,59 mo,$92.8
Patient #941,Female,One year,18 mo,$54.3
Patient #942,Female,One year,25 mo,$36.5
Patient #943,Female,Month-to-month,30 mo,$42.4
Patient #944,Male,Month-to-month,3 mo,$79.0
Patient #945,Male,Month-to-month,47 mo,$91.1
Patient #946,Male,One year,33 mo,$97.1
Patient #947,Male,Two year,7 mo,$86.2
Patient #948,Male,Month-to-month,15 mo,$61.7
Patient #949,Female,Month-to-month,71 mo,$45.3
Patient #950,Male,Month-to-month,2 mo,$50.1
Patient #951,Male,Two year,67 mo,$47.0
Patient #952,Male,One year,14 mo,$71.2
Patient #953,Male,One year,15 mo,$98.5
Patient #954,Female,Month-to-month,26 mo,$97.8
Patient #955,Male,One year,53 mo,$49.5
Patient #956,Male,Two year,64 mo,$111.0
Patient #957,Female,One year,31 mo,$20.3
Patient #958,Male,Month-to-month,64 mo,$34.9
Patient #959,Male,Two year,10 mo,$92.4
Patient #960,Male,One year,30 mo,$65.7
Patient #961,Female,One year,60 mo,$25.0
Patient #962,Male,Month-to-month,38 mo,$56.0
Patient #963,Female,One year,15 mo,$29.5
Patient #964,Male,Month-to-month,18 mo,$86.3
Patient #965,Male,One year,46 mo,$109.5
Patient #966,Female,Two year,12 mo,$57.3
Patient #967,Female,Month-to-month,15 mo,$60.1
Patient #968,Female,One year,50 mo,$89.0
Patient #969,Female,One year,22 mo,$31.3
Patient #970,Male,Month-to-month,14 mo,$61.6
Patient #971,Female,Two year,57 mo,$38.1
Patient #972,Female,One year,4 mo,$106.3
Patient #973,Male,One year,63 mo,$31.3
Patient #974,Female,One year,6 mo,$26.3
Patient #975,Female,Month-to-month,68 mo,$96.8
Patient #976,Male,Two year,44 mo,$71.9
Patient #977,Male,One year,32 mo,$68.2
Patient #978,Female,Month-to-month,72 mo,$109.2
Patient #979,Male,Month-to-month,21 mo,$70.6
Patient #980,Female,One year,22 mo,$27.5
Patient #981,Female,One year,31 mo,$53.1
Patient #982,Female,Month-to-month,65 mo,$42.3
Patient #983,Female,One year,31 mo,$27.9
Patient #984,Female,Two year,58 mo,$28.8
Patient #985,Female,One year,41 mo,$31.9
Patient #986,Female,Two year,3 mo,$30.3
Patient #987,Female,Month-to-month,72 mo,$74.9
Patient #988,Male,Two year,39 mo,$109.0
Patient #989,Male,Two year,59 mo,$115.0
Patient #990,Female,Month-to-month,29 mo,$104.4
Patient #991,Female,Two year,61 mo,$91.7
Patient #992,Female,Two year,58 mo,$31.4
Patient #993,Male,Month-to-month,44 mo,$55.5
Patient #994,Female,Two year,67 mo,$57.4
Patient #995,Male,Month-to-month,22 mo,$69.2
Patient #996,Female,Month-to-month,33 mo,$81.1
Patient #997,Male,Month-to-month,51 mo,$41.6
Patient #998,Male,Two year,44 mo,$30.8
Patient #999,Female,Month-to-month,16 mo,$97.2
Patient #1000,Female,One year,65 mo,$33.5
